VERTEX_ID, WORLD_X, WORLD_Y, WORLD_Z, SCREEN_X, SCREEN_Y, DEPTH
357, 32.22, -1012.58, 67.31, 871.51, 70.99, 199.6961
358, 32.70, -1011.47, 67.31, 856.57, 72.27, 200.1008
359, 33.67, -1010.44, 67.31, 842.57, 75.11, 201.0057
360, 34.82, -1009.43, 67.31, 828.96, 78.45, 202.0822
361, 36.05, -1008.43, 67.31, 815.60, 82.03, 203.2457
362, 37.26, -1007.35, 67.31, 801.34, 85.47, 204.3785
363, 38.31, -1006.18, 67.31, 786.12, 88.42, 205.3589
364, 39.13, -1004.89, 67.31, 769.31, 90.61, 206.0928
365, 39.24, -1003.44, 67.31, 750.53, 90.67, 206.1127
366, 38.97, -1001.98, 67.31, 731.55, 89.59, 205.7520
367, 37.96, -1000.63, 67.31, 713.55, 86.32, 204.6585
368, 36.84, -999.32, 67.31, 695.95, 82.68, 203.4574
369, 35.29, -998.24, 67.31, 680.80, 77.73, 201.8483
370, 33.74, -997.15, 67.31, 665.43, 72.69, 200.2341
371, 32.13, -996.12, 67.31, 650.49, 67.39, 198.5669
372, 30.37, -995.24, 67.31, 637.27, 61.53, 196.7524
373, 28.60, -994.36, 67.31, 623.80, 55.56, 194.9378
374, 26.83, -993.48, 67.31, 610.08, 49.48, 193.1231
375, 25.08, -992.61, 67.31, 596.10, 43.31, 191.3172
376, 23.49, -991.71, 67.31, 581.74, 37.61, 189.6792
377, 21.89, -990.81, 67.31, 567.19, 31.79, 188.0346
378, 20.29, -989.92, 67.31, 552.42, 25.84, 186.3827
379, 19.68, -988.86, 67.31, 536.29, 23.38, 185.7083
380, 19.23, -987.82, 67.31, 520.56, 21.50, 185.1955
381, 20.25, -986.96, 67.31, 509.59, 24.99, 186.1513
382, 21.45, -986.17, 67.31, 500.14, 29.15, 187.2989
383, 23.15, -985.59, 67.31, 494.47, 35.07, 188.9594
384, 24.85, -985.00, 67.31, 488.77, 40.86, 190.6112
385, 26.76, -984.57, 67.31, 485.67, 47.31, 192.4859
386, 28.68, -984.14, 67.31, 482.81, 53.69, 194.3773
387, 30.61, -983.72, 67.31, 479.99, 59.95, 196.2682
388, 32.59, -983.34, 67.31, 478.02, 66.29, 198.2231
389, 34.59, -982.97, 67.31, 476.16, 72.53, 200.1834
390, 36.58, -982.60, 67.31, 474.33, 78.64, 202.1438
391, 38.57, -982.22, 67.31, 472.33, 84.65, 204.1060
392, 40.57, -981.82, 67.31, 470.24, 90.54, 206.0693
393, 42.56, -981.43, 67.31, 468.18, 96.32, 208.0325
394, 44.54, -980.99, 67.31, 465.55, 101.93, 209.9742
395, 46.48, -980.47, 67.31, 461.91, 107.33, 211.8780
396, 48.43, -979.94, 67.31, 458.30, 112.63, 213.7802
397, 50.27, -979.27, 67.31, 452.75, 117.56, 215.5778
